grade,Unit,Deutsch,Spanisch
12,Unidad 7,die Moschee,la mezquita
12,Unidad 7,der Dom / die Kathedrale,la catedral
12,Unidad 7,der Tourismus,el turismo
12,Unidad 7,wegen,por
12,Unidad 7,jede(r),cada
12,Unidad 7,morgen,mañana
12,Unidad 7,jdm etw. erzählen,contar algo a alguien
12,Unidad 7,von hier aus,desde aquí
12,Unidad 7,die Option / die Wahl,la opción
12,Unidad 7,ankommen,llegar
12,Unidad 7,die Fahrkarte / das Ticket,el billete
12,Unidad 7,billig / preiswert,"barato, -a"
12,Unidad 7,jdm etw. empfehlen,recomendar algo a alguien
12,Unidad 7,praktisch,"práctico, -a"
12,Unidad 7,schnell,"rápido, -a"
12,Unidad 7,dauern,durar
12,Unidad 7,ökologisch / umweltfreundlich,"ecológico, -a"
12,Unidad 7,der nächste,siguiente
12,Unidad 7,etw. mieten,alquilar algo
12,Unidad 7,bequem,"cómodo, -a"
12,Unidad 7,teuer,"caro, -a"
12,Unidad 7,etw. nehmen,coger algo
12,Unidad 7,über,sobre
12,Unidad 7,der Blog,el blog
12,Unidad 7,langsam,"lento, -a"
12,Unidad 7,einzeln,individual
12,Unidad 7,Doppel-,doble
12,Unidad 7,die Klimaanlage,el aire acondicionado
12,Unidad 7,der Dienst / die Dienstleistung,el servicio
12,Unidad 7,der Parkplatz,el aparcamiento
12,Unidad 7,die Rezeption,la recepción
12,Unidad 7,etw. erlauben,permitir algo
12,Unidad 7,das Geschoss / der Stock,el piso
12,Unidad 7,etw. fragen,preguntar algo
12,Unidad 7,die Sonne scheint,hace sol
12,Unidad 7,es ist windig,hace viento
12,Unidad 7,es regnet,llover
12,Unidad 7,schneien,nevar
12,Unidad 7,es ist bewölkt,está nublado
12,Unidad 7,Nebel,niebla
12,Unidad 7,Grad unter Null,bajo cero
12,Unidad 7,es ist warm,hace calor
12,Unidad 7,es ist kalt,hace frío
12,Unidad 7,gestern,ayer
12,Unidad 7,vor (+ Zeitraum),hace
12,Unidad 7,etw. bemerken,notar algo
12,Unidad 7,rot,"rojo, -a"
12,Unidad 7,letzte(r),"pasado, -a"
12,Unidad 7,als,cuando
12,Unidad 7,wirken / scheinen,parecer
12,Unidad 7,etw./jdn vergessen,olvidarse de algo / alguien
12,Unidad 7,völlig,totalmente
12,Unidad 7,etw. reservieren,reservar algo
12,Unidad 7,vorher,antes
12,Unidad 7,jemand,alguien
12,Unidad 7,der/die/das ganze,todo el / toda la
12,Unidad 7,typisch,"típico, -a"
12,Unidad 7,spazieren gehen,pasear
12,Unidad 7,der Spaziergang,el paseo
12,Unidad 7,alle,todos / todas
12,Unidad 7,wandern,hacer senderismo
12,Unidad 7,tauchen / schnorcheln,bucear
12,Unidad 7,der Koffer,la maleta
12,Unidad 8,etw. verdienen,ganar algo
12,Unidad 8,etw. bilden / formen,formar algo
12,Unidad 8,etw. auswählen,elegir algo
12,Unidad 8,der Beruf,la profesión
12,Unidad 8,die Erfahrung,la experiencia
12,Unidad 8,das Komma,la coma
12,Unidad 8,Prozent,el … por ciento
12,Unidad 8,die Hälfte,la mitad
12,Unidad 8,die Mehrheit / die meisten,la mayoría
12,Unidad 8,das Büro,la oficina
12,Unidad 8,der Sekretär / die Sekretärin,el secretario / la secretaria
12,Unidad 8,der Polizist / die Polizistin,el/la policía
12,Unidad 8,der Blogger / die Bloggerin,el bloguero / la bloguera
12,Unidad 8,der Betreuer / die Betreuerin,el monitor / la monitora
12,Unidad 8,das Camp,el campamento
12,Unidad 8,der Modedesigner / die Modedesignerin,el/la diseñador(a) de moda
12,Unidad 8,der Rettungsschwimmer / die Rettungsschwimmerin,el/la socorrista
12,Unidad 8,der Verkäufer / die Verkäuferin,el dependiente / la dependienta
12,Unidad 8,der Webdesigner / die Webdesignerin,el/la diseñador(a) de páginas web
12,Unidad 8,kreativ,"creativo, -a"
12,Unidad 8,flexibel,flexible
12,Unidad 8,kontaktfreudig / offen,"comunicativo, -a"
12,Unidad 8,sportlich,deportista
12,Unidad 8,der Sport,el deporte
12,Unidad 8,etw. wissen / können,saber algo
12,Unidad 8,das Team / die Mannschaft,el equipo
12,Unidad 8,teamfähig sein,trabajar en equipo
12,Unidad 8,das Kind,el niño / la niña
12,Unidad 8,die Kenntnisse,los conocimientos
12,Unidad 8,die Biologie,la biología
12,Unidad 8,das Geburtsdatum,la fecha de nacimiento
12,Unidad 8,die Ausbildung,la formación
12,Unidad 8,der/die/das (Relativpronomen),que
12,Unidad 8,triumphieren,triunfar
12,Unidad 8,die Welt,el mundo
12,Unidad 8,um etw. kämpfen,luchar por algo
12,Unidad 8,der Traum,el sueño
12,Unidad 8,niemand,nadie
12,Unidad 8,anhalten / Halt machen,parar
12,Unidad 8,die Haltestelle,la parada
12,Unidad 8,geboren werden,nacer
12,Unidad 8,die Geburt,el nacimiento
12,Unidad 8,seit,desde
12,Unidad 8,etw. zeichnen,dibujar algo
12,Unidad 8,die Zeichnung,el dibujo
12,Unidad 8,das Design,el diseño
12,Unidad 8,etw. entdecken,descubrir algo
12,Unidad 8,die Leidenschaft,la pasión
12,Unidad 8,die Schule,el colegio
12,Unidad 8,spät,tarde
12,Unidad 8,die Epoche / die Zeit,la época
12,Unidad 8,der Albtraum,la pesadilla
12,Unidad 8,etw. erleiden,sufrir algo
12,Unidad 8,das Mobbing,el acoso (escolar)
12,Unidad 8,trotzdem,sin embargo
12,Unidad 8,jdn unterstützen,apoyar a alguien
12,Unidad 8,die Oberstufe,el Bachillerato
12,Unidad 8,das (Universitäts-)Studium,la carrera
12,Unidad 8,genießen,disfrutar
12,Unidad 8,das Leben,la vida
12,Unidad 8,etw. beenden,terminar de hacer algo
12,Unidad 8,die Gelegenheit / die Chance,la oportunidad
12,Unidad 8,an etw. teilnehmen,participar en algo
12,Unidad 8,etw. lassen / aufgeben,dejar algo
12,Unidad 8,sich etw./jdm widmen,dedicarse a algo / alguien
12,Unidad 8,einfach,fácil
12,Unidad 8,schwierig,difícil
12,Unidad 8,das Kostüm / der Anzug,el traje
12,Unidad 8,die Unterstützung,el apoyo
12,Unidad 8,etw. öffnen,abrir algo
12,Unidad 8,der Kunde / die Kundin,el cliente / la clienta
12,Unidad 8,der Erfolg,el éxito
12,Unidad 8,etw. hochladen,subir algo
12,Unidad 8,das soziale Netzwerk,la red social
12,Unidad 8,plötzlich,de repente
12,Unidad 8,die Frau / Ehefrau,la mujer
12,Unidad 8,der Mann,el hombre
12,Unidad 8,zurzeit,actualmente
12,Unidad 8,der letzte,"último, -a"
12,Unidad 8,von … bis,desde … hasta
12,Unidad 8,der Lebenslauf,el currículum
12,Unidad 8,beruflich,profesional
12,Unidad 8,die Muttersprache,la lengua materna
12,Unidad 8,das Anschreiben,la carta de presentación
12,Unidad 8,das Niveau,el nivel
12,Unidad 8,der Betreff / die Angelegenheit,el asunto
12,Unidad 8,sehr geehrte(r),"estimado, -a"
12,Unidad 8,die Antwort,la respuesta
12,Unidad 8,die Anzeige,el anuncio
12,Unidad 8,gerade etw. getan haben,acabar de hacer algo
12,Unidad 8,fleißig / arbeitsam,"trabajador, -a"
12,Unidad 8,verantwortungsbewusst,responsable
12,Unidad 8,jdn kennen / kennenlernen,conocer a alguien
12,Unidad 8,seit (+ Zeitraum),desde hace
12,Unidad 8,Mit freundlichen Grüßen,Atentamente
12,Unidad 8,die Bluse,la blusa
12,Unidad 8,der Rock,la falda
12,Unidad 8,die Sportschuhe,las zapatillas de deporte
12,Unidad 8,der Schuh,el zapato
12,Unidad 8,das Hemd,la camisa
12,Unidad 8,der Pullover,el jersey
12,Unidad 8,die Jeanshose,los vaqueros
12,Unidad 8,der Mantel,el abrigo
12,Unidad 8,das Kleid,el vestido
12,Unidad 8,der Schal,la bufanda
12,Unidad 8,die Jacke,la chaqueta
12,Unidad 8,die Hose,el pantalón
12,Unidad 8,das T-Shirt,la camiseta
12,Unidad 8,kurz,"corto, -a"
12,Unidad 8,breit / weit,"ancho, -a"
12,Unidad 8,eng,"estrecho, -a"
12,Unidad 8,elegant,elegante
12,Unidad 8,klassisch,"clásico, -a"
12,Unidad 8,modern,"moderno, -a"
12,Unidad 8,formell,formal
12,Unidad 8,etw. mit etw. verbinden,relacionar algo con algo
12,Unidad 8,die Farbe,el color
12,Unidad 8,schwarz,"negro, -a"
12,Unidad 8,blau,azul
12,Unidad 8,rosa,rosa
12,Unidad 8,grün,verde
12,Unidad 8,gelb,"amarillo, -a"
12,Unidad 8,weiß,"blanco, -a"
12,Unidad 8,lila,lila
12,Unidad 8,orange,naranja
12,Unidad 8,grau,gris
12,Unidad 8,braun,marrón
12,Unidad 8,das Vorstellungsgespräch,la entrevista (de trabajo)
12,Unidad 8,einige,"algunos, -as"
12,Unidad 8,die Firma,la empresa
12,Unidad 8,der Stil,el estilo
12,Unidad 8,jdm etw. zeigen,mostrar algo a alguien
12,Unidad 8,dieser / diese / dieses,"este, esta"
12,Unidad 8,jener / jene,"aquel, aquella"
12,Unidad 8,welche(r/s)?,¿Cuál…?
12,Unidad 9,das Projekt,el proyecto
12,Unidad 9,an etw. grenzen,limitar (con …)
12,Unidad 9,der Regenwald / der Dschungel,la selva
12,Unidad 9,der Kondor,el cóndor
12,Unidad 9,der Soldat / die Soldatin,el/la soldado
12,Unidad 9,die Eroberung,la conquista
12,Unidad 9,das Reich,el imperio
12,Unidad 9,der Anführer / die Anführerin,el/la líder
12,Unidad 9,jdn töten,matar a alguien
12,Unidad 9,die Kolonie,la colonia
12,Unidad 9,der Präsident / die Präsidentin,el presidente / la presidenta
12,Unidad 9,indigen / eingeboren,indígena
12,Unidad 9,etw. erreichen / schaffen,lograr algo
12,Unidad 9,die Unabhängigkeit,la independencia
12,Unidad 9,während,durante
12,Unidad 9,das Jahrhundert,el siglo
12,Unidad 9,passieren / geschehen,pasar
12,Unidad 9,das Territorium / das Gebiet,el territorio
12,Unidad 9,die Religion,la religión
12,Unidad 9,die Architektur,la arquitectura
12,Unidad 9,die Erziehung,la educación
12,Unidad 9,etw. einnehmen / besetzen,ocupar algo
12,Unidad 9,der Teil,la parte
12,Unidad 9,der Gott / die Göttin,el dios / la diosa
12,Unidad 9,das Meerschweinchen,el conejillo de Indias
12,Unidad 9,früher / damals,antes
12,Unidad 9,etw. anbauen,cultivar algo
12,Unidad 9,schon,ya
12,Unidad 9,der Adlige / die Adlige,el/la noble
12,Unidad 9,das Wissen,el saber
12,Unidad 9,etw. lernen,aprender (a hacer) algo
12,Unidad 9,sich um jdn kümmern,cuidar algo / a alguien
12,Unidad 9,die Flöte,la flauta
12,Unidad 9,der Knochen,el hueso
12,Unidad 9,menschlich,"humano, -a"
12,Unidad 9,das Quechua,el quechua
12,Unidad 9,immer noch,todavía
12,Unidad 9,etw. (er)bauen,construir algo
12,Unidad 9,die Brücke,el puente
12,Unidad 9,die Hängebrücke,el puente colgante
12,Unidad 9,das System,el sistema
12,Unidad 9,der Knoten,el nudo
12,Unidad 9,mit jdm kommunizieren,comunicarse con alguien
12,Unidad 9,etw. bedeuten,significar algo
12,Unidad 9,das Pferd,el caballo
12,Unidad 9,das Rad,la rueda
12,Unidad 9,rennen / laufen,correr
12,Unidad 9,die Gruppe,el grupo
12,Unidad 9,wo (Relativpronomen),donde
12,Unidad 9,die Wahrheit,la verdad
12,Unidad 9,verkleidet,"disfrazado, -a"
12,Unidad 9,fliegen,volar
12,Unidad 9,etw./jdn mitnehmen,llevarse algo / a alguien
12,Unidad 9,die Schlucht,el barranco
12,Unidad 9,glücklich,feliz
12,Unidad 9,weinen,llorar
12,Unidad 9,etw./jdn vermissen,echar de menos algo / a alguien
12,Unidad 9,der Vogel,el pájaro
12,Unidad 9,jdm antworten,contestar algo a alguien
12,Unidad 9,die Blume,la flor
12,Unidad 9,jdn befreien,liberar a alguien
12,Unidad 9,frei,libre
12,Unidad 9,der Esel,el burro
12,Unidad 9,alt,"viejo, -a"
12,Unidad 9,sterben,morir(se)
12,Unidad 9,geboren werden,nacer
12,Unidad 9,während,mientras
12,Unidad 9,die Kröte,el sapo
12,Unidad 9,das Haar,el pelo
12,Unidad 9,blond,"rubio, -a"
12,Unidad 9,dunkelhaarig,"moreno, -a"
12,Unidad 9,kastanienbraun,"castaño, -a"
12,Unidad 9,rothaarig,"pelirrojo, -a"
12,Unidad 9,die Haut,la piel
12,Unidad 9,hell,"claro, -a"
12,Unidad 9,das Auge,el ojo
12,Unidad 9,die Brille,las gafas
12,Unidad 9,der Bart,la barba
12,Unidad 9,klein (Körpergröße),"bajo, -a"
12,Unidad 9,schlank,"delgado, -a"
12,Unidad 9,dick,"gordo, -a"
12,Unidad 9,dünn,delgado
12,Unidad 9,der/die Freiwillige,el voluntario / la voluntaria
12,Unidad 9,peruanisch,"peruano, -a"
12,Unidad 9,NGO,ONG
12,Unidad 9,etw./jdn finden,encontrar algo / a alguien
12,Unidad 9,jdm etw. unterrichten,enseñar algo a alguien
12,Unidad 9,die Gesellschaftsschicht,la clase social
12,Unidad 9,wohlhabend,"acomodado, -a"
12,Unidad 9,arm,pobre
12,Unidad 9,der/die Quechua-Indianer(in),el/la quechua
12,Unidad 9,das Volk,el pueblo
12,Unidad 9,die Integration,la integración
12,Unidad 9,bedauerlich,lamentable
12,Unidad 9,die Lage / die Situation,la situación
12,Unidad 9,kompliziert,"complicado, -a"
12,Unidad 9,(zu Fuß) gehen,andar
12,Unidad 9,der Alkohol,el alcohol
12,Unidad 9,die Gewalt,la violencia
12,Unidad 9,das Feld,el campo
12,Unidad 9,das Ziel,el objetivo
12,Unidad 9,die Zukunft,el futuro
12,Unidad 9,jdm etw. erklären,explicar algo a alguien
13,Unidad 1,der Totenkopf,la calavera
13,Unidad 1,die Pyramide,la pirámide
13,Unidad 1,der Hut,el sombrero
13,Unidad 1,die Mariachi-Musik,el mariachi
13,Unidad 1,der Tote / die Tote,el muerto / la muerta
13,Unidad 1,Kolonial-,colonial
13,Unidad 1,die Tacos,los tacos
13,Unidad 1,der Vulkan,el volcán
13,Unidad 1,der (Bundes-)Staat,el estado
13,Unidad 1,die Vereinigten Staaten; die USA,(los) Estados Unidos
13,Unidad 1,die Sprache,la lengua
13,Unidad 1,das Idiom,el idioma
13,Unidad 1,die Zahl; die Anzahl,el número
13,Unidad 1,die Währung,la moneda
13,Unidad 1,der (mexikanische) Peso,el peso (mexicano)
13,Unidad 1,Maya-,maya
13,Unidad 1,aztekisch,azteca
13,Unidad 1,verschwinden,desaparecer
13,Unidad 1,die Landschaft,el paisaje
13,Unidad 1,das Land,el país
13,Unidad 1,bekannt,"conocido, -a"
13,Unidad 1,die Zone; das Gebiet,la zona
13,Unidad 1,das Erdöl,el petróleo
13,Unidad 1,das Element,el elemento
13,Unidad 1,die Landwirtschaft,la agricultura
13,Unidad 1,reich,"rico, -a"
13,Unidad 1,die natürlichen Ressourcen; die Bodenschätze,los recursos naturales
13,Unidad 1,der Reichtum,la riqueza
13,Unidad 1,der Unterschied,la diferencia
13,Unidad 1,anders; unterschiedlich,diferente
13,Unidad 1,etw. lösen,solucionar algo
13,Unidad 1,das Produkt,el producto
13,Unidad 1,der Kakao,el cacao
13,Unidad 1,der Straftäter / die Straftäterin,el/la delincuente
13,Unidad 1,die Mafia,la mafia
13,Unidad 1,etw./jdn kontrollieren,controlar algo/a alguien
13,Unidad 1,der Handel,el comercio
13,Unidad 1,die Droge,la droga
13,Unidad 1,die Grenze,la frontera
13,Unidad 1,die Guacamole,el guacamole
13,Unidad 1,klimatisch; Klima-,"climático, -a"
13,Unidad 1,möglich,posible
13,Unidad 1,etw. erreichen,alcanzar algo
13,Unidad 1,die Gesellschaft,la sociedad
13,Unidad 1,die Bildung; das Bildungssystem,la educación
13,Unidad 1,die Basis; die Grundlage,la base
13,Unidad 1,der Anbau,el cultivo
13,Unidad 1,der Krieger / die Kriegerin,el guerrero / la guerrera
13,Unidad 1,der Handwerker / die Handwerkerin,el artesano / la artesana
13,Unidad 1,etw. weben,tejer algo
13,Unidad 1,etw. verkaufen,vender algo
13,Unidad 1,der Markt,el mercado
13,Unidad 1,ab (Zeitpunkt),a partir de
13,Unidad 1,adelig,noble
13,Unidad 1,regieren,gobernar
13,Unidad 1,der Krieg,la guerra
13,Unidad 1,etw. gründen,crear algo
13,Unidad 1,jdn heiraten,casarse con alguien
13,Unidad 1,der Stein,la piedra
13,Unidad 1,der Eroberer / die Eroberin,el conquistador / la conquistadora
13,Unidad 1,der Aufstand,la revuelta
13,Unidad 1,etw./jdn angreifen,atacar algo/a alguien
13,Unidad 1,jdn beruhigen; jdn besänftigen,calmar a alguien
13,Unidad 1,der Schatz,el tesoro
13,Unidad 1,etw. werfen; etw. wegwerfen,tirar algo
13,Unidad 1,jdm etw. stehlen; rauben,robar algo a alguien
13,Unidad 1,der Kaiser,el emperador
13,Unidad 1,etw./jdn beschreiben,describir algo/a alguien
13,Unidad 1,die Person; die Persönlichkeit,el personaje
13,Unidad 1,etw. erobern,conquistar algo
13,Unidad 1,das Heer,el ejército
13,Unidad 1,so,tan
13,Unidad 1,die Expedition,la expedición
13,Unidad 1,sodass; deshalb,así que
13,Unidad 1,etw. entscheiden; etw. beschließen,decidir algo
13,Unidad 1,mächtig,"poderoso, -a"
13,Unidad 1,die Neuigkeit; die Nachricht,la noticia
13,Unidad 1,seltsam,"extraño, -a"
13,Unidad 1,auf,sobre
13,Unidad 1,der Sklave / die Sklavin,el esclavo / la esclava
13,Unidad 1,das Gold,el oro
13,Unidad 1,liebenswürdig; freundlich,amable
13,Unidad 1,etw. verlassen,dejar algo
13,Unidad 1,jdn gefangen nehmen,capturar a alguien
13,Unidad 1,der Missbrauch,el abuso
13,Unidad 1,gegen,contra
13,Unidad 1,etw. verwenden; etw. benutzen,utilizar algo
13,Unidad 1,vor etw./jdm fliehen; auf der Flucht sein,escapar de algo/alguien
13,Unidad 1,traurig,triste
13,Unidad 1,der Feind / die Feindin,el enemigo / la enemiga
13,Unidad 1,etw. zerstören,destruir algo
13,Unidad 1,etw. machen lassen,mandar hacer algo
13,Unidad 1,die Ruine,la ruina
13,Unidad 1,etw. behandeln; von etw. handeln,tratar algo / de algo
13,Unidad 2,das Innere,el interior
13,Unidad 2,der Hafen,el puerto
13,Unidad 2,das (Musik-)Instrument,el instrumento
13,Unidad 2,der Dudelsack,la gaita
13,Unidad 2,der Krake,el pulpo
13,Unidad 2,galicisch,"gallego, -a"
13,Unidad 2,ländlich,rural
13,Unidad 2,industriell,industrial
13,Unidad 2,der Weg,el camino
13,Unidad 2,der Rucksack,la mochila
13,Unidad 2,die Route,la ruta
13,Unidad 2,der Pilger / die Pilgerin,el peregrino / la peregrina
13,Unidad 2,das Ziel; das Reiseziel,el destino
13,Unidad 2,das Grab,la tumba
13,Unidad 2,der Apostel,el apóstol
13,Unidad 2,der Zweifel,la duda
13,Unidad 2,einzigartig; einmalig,"único, -a"
13,Unidad 2,die Insel,la isla
13,Unidad 2,ideal,ideal
13,Unidad 2,der Liebhaber / die Liebhaberin,el/la amante
13,Unidad 2,die Natur,la naturaleza
13,Unidad 2,die Mauer,la muralla
13,Unidad 2,komplett; vollständig,"completo, -a"
13,Unidad 2,römisch,"romano, -a"
13,Unidad 2,der Atlantik,el Atlántico
13,Unidad 2,das Ende,el final
13,Unidad 2,die Aussicht; die Sicht,la vista
13,Unidad 2,unglaublich,increíble
13,Unidad 2,glauben,creer
13,Unidad 2,die (Menschen-)Schlange,la cola
13,Unidad 2,das Festival,el festival
13,Unidad 2,die Art,el tipo
13,Unidad 2,jdn interessieren,interesarle algo a alguien
13,Unidad 2,keltisch,celta
13,Unidad 2,die Meeresfrüchte,el marisco
13,Unidad 2,die gefüllte Teigtasche,la empanada
13,Unidad 2,etw. probieren,probar algo
13,Unidad 2,der Regenmantel,el chubasquero
13,Unidad 2,der Schlafsack,el saco de dormir
13,Unidad 2,das Handtuch,la toalla
13,Unidad 2,das Duschgel,el gel de ducha
13,Unidad 2,das Desinfektionsmittel,el desinfectante
13,Unidad 2,die Wunde,la herida
13,Unidad 2,der Ausweis,el carné
13,Unidad 2,das Papier,el papel
13,Unidad 2,das Toilettenpapier,el papel higiénico
13,Unidad 2,das Ladegerät,el cargador
13,Unidad 2,die Taschenlampe,la linterna
13,Unidad 2,das Pflaster,la tirita
13,Unidad 2,die (Zahn-)Bürste,el cepillo (de dientes)
13,Unidad 2,die Zahnpasta,la pasta de dientes
13,Unidad 2,die Sonnencreme,la crema (solar)
13,Unidad 2,willkommen,"bienvenido, -a"
13,Unidad 2,die Etappe; der Abschnitt,la etapa
13,Unidad 2,der Müll,la basura
13,Unidad 2,Wie schade!,¡Qué pena!
13,Unidad 2,etw./jdn verstehen,entender algo/a alguien
13,Unidad 2,der Mülleimer,la papelera
13,Unidad 2,die Herberge,el albergue
13,Unidad 2,etw. bekommen; erhalten,recibir algo
13,Unidad 2,wehtun,doler
13,Unidad 2,der Fuß,el pie
13,Unidad 2,drücken; stoßen,empujar
13,Unidad 2,fallen,caerse
13,Unidad 2,zum Glück,por suerte
13,Unidad 2,kaputt gehen,romperse
13,Unidad 2,sympathisch; nett,"simpático, -a"
13,Unidad 2,sich an etw./jdn erinnern,acordarse de algo/alguien
13,Unidad 2,Wie aufregend!,¡Qué nervios!
13,Unidad 2,etw. erreichen; etw. schaffen,conseguir / lograr algo
13,Unidad 2,das Gefühl,el sentimiento
13,Unidad 2,einerseits … andererseits,por un lado … por otro (lado)
13,Unidad 2,froh; zufrieden (sein),"(estar) contento, -a"
13,Unidad 2,überrascht (sein),"(estar) sorprendido, -a"
13,Unidad 2,die Überraschung,la sorpresa
13,Unidad 2,deprimiert (sein); bedrückt (sein),"(estar) deprimido, -a"
13,Unidad 2,müde (sein),"(estar) cansado, -a"
13,Unidad 2,verärgert (sein),"(estar) enfadado, -a"
13,Unidad 2,krank (sein),"(estar) enfermo, -a"
13,Unidad 2,nervös (sein); aufgeregt (sein),"(estar) nervioso, -a"
13,Unidad 2,gelangweilt (sein),"(estar) aburrido, -a"
13,Unidad 2,besorgt (sein),"(estar) preocupado, -a"
13,Unidad 2,sich fühlen,sentirse
13,Unidad 2,(schon) mal,alguna vez
13,Unidad 2,weder … noch,no … ni … ni
13,Unidad 2,kein / keine,ningún / ninguna
13,Unidad 3,das Plastik; der Kunststoff,el plástico
13,Unidad 3,die Umwelt,el medio ambiente
13,Unidad 3,nicht mehr,ya no
13,Unidad 3,etw. aufbewahren; etw. aufheben,guardar algo
13,Unidad 3,etw. wegwerfen,tirar algo
13,Unidad 3,der Boden,el suelo
13,Unidad 3,etw. ausschalten,apagar algo
13,Unidad 3,das Gerät; der Apparat,el aparato
13,Unidad 3,elektronisch,"electrónico, -a"
13,Unidad 3,die Verpackung,el envase
13,Unidad 3,sich in etw. verfangen,"quedarse atrapado, -a en algo"
13,Unidad 3,der Konsum; der Verbrauch,el consumo
13,Unidad 3,der Planet,el planeta
13,Unidad 3,der Fisch,el pez
13,Unidad 3,die Schildkröte,la tortuga
13,Unidad 3,schwimmen,nadar
13,Unidad 3,etw. recyceln; etw. wiederverwerten,reciclar algo
13,Unidad 3,das Fischernetz,la red de pesca
13,Unidad 3,die Umweltverschmutzung,la contaminación
13,Unidad 3,auf etw./jdn antworten,responder algo/a alguien
13,Unidad 3,wirklich,real
13,Unidad 3,die Bedrohung,la amenaza
13,Unidad 3,der Gebrauch; die Verwendung,el uso
13,Unidad 3,benutzen,usar
13,Unidad 3,Wegwerf-,de usar y tirar
13,Unidad 3,sich zersetzen,descomponerse
13,Unidad 3,"brauchen, um etw. zu tun",tardar en hacer algo
13,Unidad 3,jdn betreffen,afectar a alguien
13,Unidad 3,etw. schaffen; etw. herstellen,crear algo
13,Unidad 3,besonders,especial
13,Unidad 3,gefährlich,"peligroso, -a"
13,Unidad 3,das Mikroplastik,el microplástico
13,Unidad 3,etw. beinhalten; etw. enthalten,contener algo
13,Unidad 3,durch,a través de
13,Unidad 3,exzessiv; übermäßig,"excesivo, -a"
13,Unidad 3,wasserdicht; wasserundurchlässig,impermeable
13,Unidad 3,leicht,"ligero, -a"
13,Unidad 3,stabil,estable
13,Unidad 3,die Herausforderung,el reto
13,Unidad 3,etw. einsammeln; etw. aufsammeln,recoger algo
13,Unidad 3,jdm etw. (an)bieten,ofrecer algo a alguien
13,Unidad 3,die Alternative,la alternativa
13,Unidad 3,etw. abschaffen,eliminar algo
13,Unidad 3,unverpackt,a granel
13,Unidad 3,genug; ausreichend,suficiente
13,Unidad 3,etw. von jdm fordern; verlangen,exigir algo a alguien
13,Unidad 3,die Regierung,el Gobierno
13,Unidad 3,regieren,gobernar
13,Unidad 3,handeln,actuar
13,Unidad 3,etw. vorschlagen,proponer algo
13,Unidad 3,die Maßnahme,la medida
13,Unidad 3,etw. hoffen,esperar algo
13,Unidad 3,die Gewohnheit,el hábito
13,Unidad 3,weil; da,ya que
13,Unidad 3,die Medizin,la medicina
13,Unidad 3,etw. versuchen,intentar algo
13,Unidad 3,etw. reduzieren,reducir algo
13,Unidad 3,sich etw. wünschen,desear algo
13,Unidad 3,jdn um etw. bitten; verlangen,pedir algo a alguien
13,Unidad 3,das Plakat,el cartel
13,Unidad 3,das Deo,el desodorante
13,Unidad 3,die Schminke,el maquillaje
13,Unidad 3,die Frischhaltebox,el táper
13,Unidad 3,das (Trink-)Glas; der Becher,el vaso
13,Unidad 3,Einweg-,de un solo uso
13,Unidad 3,der Kugelschreiber,el bolígrafo
13,Unidad 3,das Holz,la madera
13,Unidad 3,das Glas,el cristal
13,Unidad 3,das Metall,el metal
13,Unidad 3,der Stoff,la tela
13,Unidad 3,der Bambus,el bambú
13,Unidad 3,fest,"sólido, -a"
13,Unidad 3,obwohl; auch wenn,aunque
13,Unidad 3,am Anfang,al principio
13,Unidad 3,sich über etw. informieren,informarse de/sobre algo
13,Unidad 3,sich einer Sache bewusst werden; bemerken,darse cuenta de algo
13,Unidad 3,sich um etw./jdn Sorgen machen,preocuparse por algo/alguien
13,Unidad 3,besorgt,"preocupado, -a"
13,Unidad 3,existieren,existir
13,Unidad 3,schrecklich,horrible
13,Unidad 3,der Rat (Schlag),el consejo
13,Unidad 3,der Schritt,el paso
13,Unidad 3,die Geduld,la paciencia
13,Unidad 3,die Seife,el jabón
13,Unidad 3,draußen; außerhalb,fuera
13,Unidad 3,das Objekt; der Gegenstand,el objeto
13,Unidad 3,etw./jdn ertragen,soportar algo/a alguien
13,Unidad 3,etw. wiederverwenden,reutilizar algo
13,Unidad 3,etw. satt haben,"estar harto, -a de algo"
13,Unidad 3,etw. trennen,separar algo
13,Unidad 3,sondern,sino
13,Unidad 3,die Meinung,la opinión
13,Unidad 3,der Kommentar,el comentario
13,Unidad 3,die Angst,el miedo
13,Unidad 3,etw./jdn hassen,odiar algo/a alguien
13,Unidad 4,digital,digital
13,Unidad 4,das Tablet,la tableta
13,Unidad 4,der Fotoapparat,la cámara de fotos
13,Unidad 4,der Laptop,el portátil
13,Unidad 4,die Serie,la serie
13,Unidad 4,das Video,el vídeo
13,Unidad 4,das Videospiel,el videojuego
13,Unidad 4,sich mit etw. verbinden,conectarse a algo
13,Unidad 4,der Anschluss,la conexión
13,Unidad 4,das Drittel,el tercio
13,Unidad 4,der Abdruck; die Spur,la huella
13,Unidad 4,vor etw. schützen,proteger (de) algo
13,Unidad 4,die Identität,la identidad
13,Unidad 4,vorsichtig sein,tener cuidado
13,Unidad 4,das Bild,la imagen
13,Unidad 4,negativ,"negativo, -a"
13,Unidad 4,etw. veröffentlichen,publicar algo
13,Unidad 4,etw. teilen,compartir algo
13,Unidad 4,das Netz; das Internet,la red
13,Unidad 4,sicher,"seguro, -a"
13,Unidad 4,etw. vermeiden,evitar algo
13,Unidad 4,das W-Lan,el wifi
13,Unidad 4,öffentlich,"público, -a"
